School,GPA,MCAT
New York University School of Medicine,3.9,520
University of Chicago Pritzker School of Medicine,3.9,520
Vanderbilt University School of Medicine,3.9,520
Johns Hopkins University School of Medicine,3.92,519
Washington University School of Medicine,3.89,521
Harvard Medical School,3.92,518
Northwestern University The Feinberg School of Medicine,3.9,519
University of Virginia School of Medicine,3.9,518
Stanford University School of Medicine,3.89,518
Columbia University College of Physicians and Surgeons,3.87,519
Weill Cornell Medical College,3.87,519
Perelman School of Medicine University of Pennsylvania,3.87,518
Yale School of Medicine,3.87,518
Icahn School of Medicine at Mount Sinai,3.84,519
Baylor College of Medicine,3.89,515
University of Michigan Medical School,3.86,516
University of California San Diego School of Medicine,3.84,517
University of Texas Southwestern Medical School,3.89,514
Duke University School of Medicine,3.85,516
University of Cincinnati College of Medicine,3.86,515
University of California San Francisco School of Medicine,3.84,516
University of Pittsburgh School of Medicine,3.85,515
Albert Einstein College of Medicine of Yeshiva University,3.83,516
University of Florida College of Medicine,3.86,514
The Ohio State University College of Medicine,3.83,515
Mayo Medical School,3.85,513
Boston University School of Medicine,3.81,517
Case Western Reserve University School of Medicine,3.81,517
University of Texas at Austin Dell Medical School,3.88,512
Saint Louis University School of Medicine,3.87,512
University of Iowa Carver College of Medicine,3.85,512
Stony Brook University School of Medicine,3.8,514
University of Miami Miller School of Medicine,3.8,513
Hofstra Northwell School of Medicine,3.78,516
University of Texas McGovern Medical School at Houston,3.84,511
Brown University The Warren Alpert Medical School,3.79,515
Emory University School of Medicine,3.79,515
University of Rochester School of Medicine and Dentistry,3.79,515
The University of Vermont Larner College of Medicine,3.82,512
University of California Irvine School of Medicine,3.82,512
University of Kentucky College of Medicine,3.82,512
University of Maryland School of Medicine,3.82,512
Geisel School of Medicine at Dartmouth,3.78,515
University of Wisconsin School of Medicine and Public Health,3.81,512
SUNY Downstate Medical Center College of Medicine,3.78,514
University of Texas Medical Branch School of Medicine,3.92,508
University of Connecticut School of Medicine,3.82,511
University of Southern California Keck School of Medicine,3.76,515
University of South Dakota Sanford School of Medicine,3.86,509
University of Missouri Columbia School of Medicine,3.85,509
Loma Linda University School of Medicine,3.86,508
Indiana University School of Medicine,3.82,510
Rutgers New Jersey Medical School,3.79,512
Temple University Lewis Katz School of Medicine,3.79,512
University of Colorado School of Medicine,3.79,512
University of Missouri Kansas City School of Medicine,3.83,509
University of Nebraska College of Medicine,3.83,509
Creighton University School of Medicine,3.81,510
University of Massachusetts Medical School,3.77,512
Texas A&M Health Science Center College of Medicine,3.8,510
Tufts University School of Medicine,3.74,513
Pennsylvania State University College of Medicine,3.82,509
University of Texas School of Medicine at San Antonio,3.82,509
Florida Atlantic University Charles E Schmidt College of Medicine,3.76,512
SUNY Buffalo Jacobs School of Medicine and Biomedical Sciences,3.78,511
Sidney Kimmel Medical College at Thomas Jefferson University,3.75,512
SUNY Upstate Medical University,3.75,512
University of North Carolina at Chapel Hill School of Medicine,3.75,512
University of Minnesota Medical School Twin Cities,3.8,509
Medical College of Georgia at Augusta University,3.79,510
University of Tennessee Health Science Center College of Medicine,3.79,510
University of Louisville School of Medicine ,3.81,508
University of Kansas School of Medicine ,3.83,507
Georgetown University School of Medicine,3.74,512
Western Michigan University School of Medicine,3.7,514
Texas Tech University Health Sciences Center School of Medicine Lubbock,3.8,508
Texas Tech University Health Sciences Center Paul L Foster School of Medicine,3.82,507
University of Oklahoma College of Medicine,3.82,507
University of Illinois College of Medicine,3.73,512
University of South Florida Health Morsani College of Medicine,3.68,514
Medical College of Wisconsin,3.76,510
University of Central Florida College of Medicine,3.76,510
University of Hawaii John A Burns School of Medicine,3.76,510
Virginia Commonwealth University School of Medicine,3.74,511
East Tennessee State University Quillen College of Medicine,3.82,506
University of Arkansas for Medical Sciences College of Medicine,3.82,506
Eastern Virginia Medical School,3.72,512
University of Utah School of Medicine,3.75,510
University of Alabama School of Medicine,3.79,508
University of California Los Angeles David Geffen School of Medicine,3.79,508
University of Arizona College of Medicine Phoenix,3.82,505
Southern Illinois University School of Medicine,3.8,507
University of South Alabama College of Medicine,3.8,507
Drexel University College of Medicine,3.73,511
The University of Toledo College of Medicine and Life Sciences,3.73,511
Uniformed Services University of the Health Sciences F Edward Hebert School of Medicine,3.71,512
George Washington University School of Medicine and Health Sciences,3.72,511
Virginia Tech Carilion School of Medicine and Research Institute,3.61,513
University of Nevada School of Medicine,3.75,509
California Northstate University College of Medicine,3.58,513
Oregon Health & Science University School of Medicine,3.73,510
Oakland University William Beaumont School of Medicine,3.79,507
West Virginia University School of Medicine,3.79,507
Wayne State University School of Medicine,3.76,508
Quinnipiac University Frank H Netter MD School of Medicine,3.68,512
Rutgers Robert Wood Johnson Medical School,3.7,511
Medical University of South Carolina College of Medicine,3.74,509
Geisinger Commonwealth School of Medicine,3.72,510
Wake Forest School of Medicine,3.69,511
New York Medical College,3.65,512
Louisiana State University New Orleans School of Medicine,3.73,509
Florida International University Herbert Wertheim College of Medicine,3.71,510
University of South Carolina School of Medicine Columbia,3.78,506
University of California Riverside School of Medicine,3.74,508
Wright State University Boonshoft School of Medicine,3.74,508
Northeast Ohio Medical University,3.78,505
University of South Carolina School of Medicine Greenville,3.76,507
University of California Davis School of Medicine,3.72,509
University of North Dakota School of Medicine and Health Sciences,3.79,503
