School,WTD SCORE
Albany Medical College,2.737654508
Albert Einstein College of Medicine of Yeshiva University,3.298386357
Baylor College of Medicine,3.364567623
Boston University School of Medicine,3.273561639
Brown University The Warren Alpert Medical School,3.208834829
California Northstate University College of Medicine,2.756750294
Case Western Reserve University School of Medicine,3.278311639
Central Michigan University College of Medicine,2.790224195
Chicago Medical School at Rosalind Franklin University of Medicine & Science,2.768597103
Columbia University College of Physicians and Surgeons,3.379658742
Cooper Medical School of Rowan University,2.800775744
Creighton University School of Medicine,3.159871364
Drexel University College of Medicine,2.939847299
Duke University School of Medicine,3.333332823
East Carolina University Brody School of Medicine,2.805764181
East Tennessee State University Quillen College of Medicine,3.09641041
Eastern Virginia Medical School,2.934859676
Emory University School of Medicine,3.213584829
Florida Atlantic University Charles E Schmidt College of Medicine,3.042843354
Florida International University Herbert Wertheim College of Medicine,2.866208064
Florida State University College of Medicine,2.851372235
Geisel School of Medicine at Dartmouth,3.174724272
Geisinger Commonwealth School of Medicine,2.881334837
George Washington University School of Medicine and Health Sciences,2.91047288
Georgetown University School of Medicine,2.993606172
Harvard Medical School,3.42596187
Hofstra Northwell School of Medicine,3.199106126
Howard University College of Medicine,2.692047367
Icahn School of Medicine at Mount Sinai,3.353373937
Indiana University School of Medicine ,3.179725154
Johns Hopkins University School of Medicine,3.431340069
Loma Linda University School of Medicine,3.257838263
Louisiana State UniversityNew Orleans School of Medicine,2.886319961
Louisiana State UniversityShreveport School of Medicine,2.876432001
Loyola University of Chicago Stritch School of Medicine,2.821536402
Marshall University Joan C Edwards School of Medicine,2.762764158
Mayo Medical School,3.293433571
Medical College of Georgia at Augusta University,3.08690704
Medical College of Wisconsin,2.998818516
Medical University of South Carolina College of Medicine,2.929942038
Meharry Medical College School of Medicine,2.713732407
Mercer University School of Medicine,2.846163174
Michigan State University College of Human Medicine,2.826286402
Morehouse School of Medicine,2.74830639
New York Medical College,2.795672119
New York University School of Medicine,3.411300963
Northeast Ohio Medical University,2.964087383
Northwestern University The Feinberg School of Medicine,3.401173974
Oakland University William Beaumont School of Medicine,3.032735377
Oregon Health & Science University School of Medicine,2.920209256
Pennsylvania State University College of Medicine,3.164835859
Perelman School of Medicine University of Pennsylvania,3.369530544
Ponce School of Medicine and Health Sciences,2.747211273
Quinnipiac University Frank H Netter MD School of Medicine,2.836338335
Rush Medical College of Rush University,2.811207613
Rutgers New Jersey Medical School,3.135681878
Rutgers Robert Wood Johnson Medical School,2.856466968
Saint Louis University School of Medicine,3.308735694
San Juan Bautista School of Medicine,2.737830906
Sidney Kimmel Medical College at Thomas Jefferson University,3.018225922
Southern Illinois University School of Medicine,3.057343667
Stanford University School of Medicine,3.390209521
Stony Brook University School of Medicine,3.228060037
SUNY  Buffalo Jacobs School of Medicine and Biomedical Sciences,3.081934525
SUNY  Downstate Medical Center College of Medicine,3.155091189
SUNY  Upstate Medical University,3.022975922
Temple University Lewis Katz School of Medicine,3.140431878
Texas A&M Health Science Center College of Medicine,3.13051533
